Date, Time, Price (Rs.)
10/7/2019,13:42:51,"50,950.00"
10/07/2019,13:46:09,"50,950.00"
10/07/2019,21:04:22,"51,990.00"
11/07/2019,12:09:54,"50,950.00"
11/07/2019,20:14:18,"51,990.00"
14/07/2019,21:01:16,"51,990.00"
15/07/2019,17:56:24,"51,990.00"
16/07/2019,19:35:11,"51,990.00"
18/07/2019,21:28:06,"50,950.00"
19/07/2019,20:44:05,"51,364.00"
21/07/2019,11:18:33,"51,990.00"
